fake,std_review_len,tfidf_review_body,n_of_reviews,avg_review_rating,avg_days_between_reviews,stdev_days_between_reviews,max_days_between_reviews,min_days_between_reviews,share_helpful_reviews,share_1star,share_5star,share_photo,pagerank,eigenvector_cent,w_degree,clustering_coef,product_ID
1,233.6484556158023,0.044495784594955,355,4.709859154929577,1.2485875706214584,3.7318491014650697,58.0,0.0,0.0957746478873239,0.0422535211267605,0.8760563380281691,0.1380281690140845,0.0008910002739021,0.0419652295599837,723,0.4139817899178326,2930
1,167.37991975641637,0.0447543620452738,267,4.898876404494382,1.8496240601503704,7.462101722858438,85.0,0.0,0.0599250936329588,0.0149812734082397,0.9588014981273408,0.1947565543071161,0.0004846222507141,0.0241590165768687,374,0.4156038608593353,1472
1,165.9037491218561,0.0460971275729269,180,4.511111111111111,2.1564245810055787,3.242640857207373,21.0,0.0,0.1444444444444444,0.0944444444444444,0.85,0.2111111111111111,0.0003555050625771,0.0174217504192566,255,0.3969755184473671,2252
1,212.8932173210173,0.0460809002117256,951,4.472134595162986,0.6378947368420949,1.099590780033148,9.0,0.0,0.1640378548895899,0.0546792849631966,0.7760252365930599,0.1377497371188223,0.0007517327609403,0.0323891021811061,559,0.3420568512254465,1394
1,141.8375613033481,0.0410160581726265,149,4.543624161073826,2.2770270270270254,2.9062937708115046,20.0,0.0,0.1275167785234899,0.0939597315436241,0.8523489932885906,0.1610738255033557,0.0005136662049636,0.027456375979716,407,0.493971243971244,2600
1,170.2763552982053,0.0469552421401865,682,4.743401759530792,0.3024963289280439,0.6107923449008218,4.0,0.0,0.5513196480938416,0.0425219941348973,0.8914956011730205,0.2052785923753665,0.000983886569263,0.0392895394942614,788,0.3362565130260521,3267
1,160.0023408438819,0.034610810883286,940,4.1925531914893615,0.5559105431309838,0.7875731911603935,7.0,0.0,0.0670212765957446,0.1106382978723404,0.6882978723404255,0.0872340425531914,0.0005058056868809,0.0219509191451435,333,0.3295992782497556,1711
1,280.2504823623832,0.0463535909091096,1659,4.490054249547921,0.1411338962605439,0.3551285335792014,2.0,0.0,0.0928270042194092,0.0693188667872212,0.8131404460518384,0.188667872212176,0.0024253146692587,0.0628956634984279,2092,0.2889875374610275,3094
1,159.82764840183822,0.0344705336235056,866,3.8221709006928406,0.430057803468206,0.9001147670586805,10.0,0.0,0.0831408775981524,0.2136258660508083,0.6085450346420324,0.0357967667436489,0.0013458884768992,0.0484219375424328,1052,0.2995131516667794,2411
1,299.3369082847132,0.0364922867361254,204,4.014705882352941,2.2118226600985187,3.1871428168081017,23.0,0.0,0.142156862745098,0.1568627450980392,0.6274509803921569,0.0441176470588235,0.000256058181802,0.0086392496265266,131,0.3786422578184591,2429
0,344.12888801336766,0.0502730060467946,4679,4.721307971788844,0.0607097050021296,0.2406064800683564,2.0,0.0,0.0474460354776661,0.0226544133361829,0.8326565505449882,0.1602906603975208,0.003242970217172,0.0686090302880492,2731,0.2348791208791208,3017
1,168.04870255283234,0.044892955861286,387,4.493540051679586,0.7538860103626852,4.485943173781979,87.0,0.0,0.0516795865633074,0.0956072351421188,0.8320413436692506,0.2144702842377261,0.0007918401456135,0.0347965024693438,635,0.4144861726281311,2791
1,185.84074472867272,0.0397731811672023,2025,3.9496296296296296,0.2307312252964352,0.5285934468237269,8.0,0.0,0.0760493827160493,0.1960493827160493,0.6582716049382716,0.105679012345679,0.0013546123332582,0.048238653861151,1027,0.2857466701826947,2020
1,223.7918838164057,0.0425829103330534,461,4.442516268980477,0.5652173913043402,0.7656052303635648,4.0,0.0,0.1106290672451193,0.0629067245119305,0.7613882863340564,0.1518438177874186,0.0007406761096405,0.0321241581143027,564,0.3528918080642219,3026
1,159.01511241848064,0.037877421147616,157,3.980891719745223,3.538461538461528,4.083617332842511,24.0,0.0,0.3949044585987261,0.1847133757961783,0.6687898089171974,0.0764331210191082,0.0004301264192264,0.0253705557892458,323,0.5094560244026436,1404
1,173.39024586325,0.0445708486827663,364,4.832417582417582,0.4600550964187268,1.1274706436109954,14.0,0.0,0.0961538461538461,0.0109890109890109,0.9093406593406592,0.1181318681318681,0.0006223477716738,0.0342713335725834,499,0.4560523508893309,3321
1,143.89008189655024,0.0350272674975977,233,4.394849785407725,1.9396551724137847,3.365958417903484,25.0,0.0,0.1545064377682403,0.1158798283261802,0.8111587982832618,0.03862660944206,0.0004371661238617,0.0320016369098817,360,0.6264447526583449,1610
1,163.4042997155412,0.0452465291804413,283,4.851590106007067,0.719858156028368,1.2354041716592823,11.0,0.0,0.0883392226148409,0.0176678445229682,0.9293286219081272,0.166077738515901,0.0006127839673789,0.0316362539518963,500,0.4670586863453882,3046
1,193.2860465412488,0.043741744176226,105,3.742857142857143,1.2211538461538427,2.5119393767390625,19.0,0.0,0.1047619047619047,0.2571428571428571,0.638095238095238,0.2095238095238095,0.0002780533266016,0.014721026176487,192,0.4672422934181625,1489
